TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x87cf7280,TCPv4,192.168.1.66,58763,63.238.84.59,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cd2988,TCPv4,127.0.0.1,58749,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87cb1c30,TCPv4,192.168.1.66,58822,93.184.220.20,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87c0b278,TCPv4,127.0.0.1,12080,127.0.0.1,58783,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cd7df8,TCPv4,127.0.0.1,12080,127.0.0.1,58733,ESTABLISHED,1220,AvastSvc.exe,-
0,0x89f2e240,TCPv4,127.0.0.1,12080,127.0.0.1,49178,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cdbbd0,TCPv4,192.168.1.66,58732,107.21.110.107,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87b9b580,TCPv4,127.0.0.1,58731,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87c54008,TCPv4,127.0.0.1,12080,127.0.0.1,58815,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87c43008,TCPv4,192.168.1.66,58798,204.236.147.150,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87ce8df8,TCPv4,192.168.1.66,58788,94.245.117.52,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87ba3df8,TCPv4,127.0.0.1,12080,127.0.0.1,58792,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87acadf8,TCPv4,192.168.1.66,58809,174.129.13.13,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x88beb008,TCPv4,192.168.1.66,49179,106.187.94.116,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87ce8008,TCPv4,127.0.0.1,12080,127.0.0.1,58758,ESTABLISHED,1220,AvastSvc.exe,-
0,0x898db4f8,TCPv4,127.0.0.1,49178,127.0.0.1,12080,ESTABLISHED,2772,iexplore.exe,-
0,0x87c25a48,TCPv4,192.168.1.66,58816,205.185.216.10,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87b9f838,TCPv4,127.0.0.1,58758,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87ca97f8,TCPv4,127.0.0.1,58742,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87ba7cd0,TCPv4,127.0.0.1,12080,127.0.0.1,58806,ESTABLISHED,1220,AvastSvc.exe,-
0,0x89f01bd0,TCPv4,192.168.1.66,49156,77.234.42.54,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87baacc0,TCPv4,127.0.0.1,12080,127.0.0.1,58811,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87c41008,TCPv4,127.0.0.1,58797,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87cd3880,TCPv4,192.168.1.66,58812,74.125.230.251,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87baf540,TCPv4,127.0.0.1,12080,127.0.0.1,58727,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87b92378,TCPv4,127.0.0.1,58817,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87c60df8,TCPv4,127.0.0.1,12080,127.0.0.1,58817,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cb2df8,TCPv4,127.0.0.1,12080,127.0.0.1,58808,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87ae5a20,TCPv4,192.168.1.66,58772,195.154.120.68,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87ceddf8,TCPv4,127.0.0.1,58811,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87cbfa30,TCPv4,192.168.1.66,58818,213.152.6.122,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cd3c30,TCPv4,127.0.0.1,58762,127.0.0.1,12080,ESTABLISHED,1172,svchost.exe,-
0,0x87b58c30,TCPv4,127.0.0.1,12080,127.0.0.1,58731,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87c31718,TCPv4,192.168.1.66,58786,217.212.238.42,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87c21008,TCPv4,127.0.0.1,58785,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87c9a678,TCPv4,127.0.0.1,58787,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87ca8bb0,TCPv4,127.0.0.1,12080,127.0.0.1,58738,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cda310,TCPv4,127.0.0.1,58733,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
